"","a_log","a12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"43","-2","-2e-04","-3","-2.375","0.2","0.2","NaN","-1.13244984667546","-0.000484062612913789","-4.12964024807745","0.354765295868633","0.402367540674353","0.280792584330183","0","2810.39019796202","-1386.44517325423","188"
"44","-1.5","-0.00035","-5","-3","0.2","0.2","NaN","-1.13246928623878","-0.000483983236346425","-4.1287941751784","0.353321684724881","0.402324986194598","0.280850473680016","0","2810.39025373759","-1386.44520114202","9"
"45","-3","-5e-05","-2","-2.375","0.2","0.2","NaN","-1.08139761609078","-0.000516438962788106","-4.00091852902198","0.54715602783546","0.402709903499287","0.281305728613873","0","2811.31318283883","-1386.90666569263","216"
"46","-1","-5e-04","-2","-0.5","0.2","0.2","NaN","-1.13208827342106","-0.000483659732858701","-4.12892419364345","0.353146946571482","0.402366426517081","0.280819886688024","0","2810.39004489289","-1386.44509671966","580"
"47","-3","-2e-04","-4","-1.75","0.2","0.2","NaN","-1.0848045177642","-0.000513692814069431","-3.96888734285033","0.449570289677617","0.402895998141263","0.280709035434515","0","2811.62163825272","-1387.06089339958","286"
"48","-2","-0.00035","-5","-1.75","0.2","0.2","NaN","-1.13175089543643","-0.000484000220589121","-4.1277519480142","0.353298731810668","0.402337936469179","0.2807766193835","0","2810.39001005743","-1386.44507930194","258"
"49","-1","-0.00035","-1","-3","0.2","0.2","NaN","-1.35061017474823","-0.000395817617282666","-4.47854713496167","-3.98404646650361","0.420434906407649","0.281040497019431","0","2856.91136220917","-1409.70575537781","110"
"50","-2.5","-5e-04","-1","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","602"
"51","-2.5","-0.00035","-1","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","607"
"52","-3","-2e-04","-1","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","361"
"53","-1.5","-0.00035","-4","-3","0.2","0.2","NaN","-1.13535019238807","-0.000480628194614863","-4.12538513737295","0.349711419599075","0.402066461459166","0.281034535757019","0","2810.40077654329","-1386.45046254487","34"
"54","-2.5","1e-04","-1","-2.375","0.2","0.2","NaN","-1.13343624780165","-0.000482635274445674","-4.13120671149315","0.347766905772918","0.402358523174806","0.280710448951213","0","2810.39069150606","-1386.44542002625","247"
"55","-1","1e-04","-5","-3","0.2","0.2","NaN","-1.13427394888174","-0.000483581824409987","-4.12918189921174","0.34573745119787","0.402408215525611","0.280666215090026","0","2810.39363120985","-1386.44688987815","25"
"56","-2.5","-5e-04","-4","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","27"
"57","-2.5","1e-04","-4","-1.125","0.2","0.2","NaN","-1.13223169566371","-0.000483971562847902","-4.1293062880011","0.352401742206193","0.40226343499669","0.28074821923708","0","2810.39006399621","-1386.44510627132","422"
"58","-2","1e-04","-3","-1.75","0.2","0.2","NaN","-1.16330150191083","-0.000465600970050791","-4.20495401412035","0.16293697787379","0.401797687261257","0.280298886273912","0","2810.87750232991","-1386.68882543818","323"
"59","-1.5","-0.00035","-2","-1.125","0.2","0.2","NaN","-1.13035685754759","-0.000483905982863594","-4.1230722722731","0.35506809344571","0.402213284230974","0.280558055799291","0","2810.39305072874","-1386.44659963759","459"
"60","-2.5","-2e-04","-3","-3","0.2","0.2","NaN","-1.31766921870828","-0.000403165886460068","-4.53038782747017","-1.7769718282743","0.410773958177825","0.279679255085928","0","2839.08955885549","-1400.79485370096","62"
"61","-1","-0.00035","-5","-3","0.2","0.2","NaN","-1.13219238940384","-0.000483365289339754","-4.12655868794362","0.354533339374419","0.40242908284895","0.280534169180586","0","2810.3911588341","-1386.44565369027","10"
"62","-3","1e-04","-5","-0.5","0.2","0.2","NaN","-1.13199997207325","-0.000484064236090433","-4.12795234072509","0.353847205456239","0.402460597059986","0.280802042348963","0","2810.39003317619","-1386.44509086131","521"
"63","-3","-0.00035","-3","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","181"
"64","-2.5","-0.00035","-4","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","32"
"65","-1","-5e-04","-3","-2.375","0.2","0.2","NaN","-1.14937250115371","-0.000467894215015703","-4.1817105069697","0.3360263579155","0.398928242128155","0.278722404163636","0","2810.67855879205","-1386.58935366925","180"
"66","-3","1e-04","-2","-1.125","0.2","0.2","NaN","-1.23804945015933","-0.000427119795705288","-4.36697155556251","-0.421115822918914","0.404311970358239","0.279625223800141","0","2816.73418856491","-1389.61716855568","471"
"67","-1.5","-5e-05","-1","-2.375","0.2","0.2","NaN","-0.561774667278816","-0.00116560971994063","-2.17091049958687","-2.42762680178391","0.606075092307115","0.265212410522842","0","3143.82087842425","-1553.16051348535","244"
"68","-2.5","-2e-04","-4","-0.5","0.2","0.2","NaN","-1.13213265891236","-0.00048369920391943","-4.12866345327004","0.355321552134836","0.402288616564332","0.280762913388931","0","2810.390045594","-1386.44509707022","537"
"69","-3","-0.00035","-1","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","481"
"70","-3","-5e-05","-4","-2.375","0.2","0.2","NaN","-1.13192120091585","-0.000484175718306308","-4.12824602439029","0.354272384416121","0.40245442751037","0.280775385932617","0","2810.38998616237","-1386.44506735441","166"
"71","-2.5","-5e-04","-4","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","277"
"72","-2.5","1e-04","-3","-0.5","0.2","0.2","NaN","-1.33006940505186","-0.000382798579832513","-4.56608051026595","-1.52304279899922","0.417641152366031","0.281332743005582","0","2836.18876055194","-1399.34445454919","572"
"73","-3","-0.00035","-1","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","106"
"74","-2.5","-5e-04","-2","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","327"
"75","-3","-5e-05","-1","-2.375","0.2","0.2","NaN","-0.92602882179321","-0.000870047144383886","-2.50372886002439","-3.23617095343657","0.658867697602377","0.281512926707114","0","3108.35873153545","-1535.42944004095","241"
"76","-1.5","-0.00035","-5","-1.125","0.2","0.2","NaN","-1.13191568619611","-0.000484076181498541","-4.12869452675035","0.35436366422084","0.402339561741334","0.280704722409313","0","2810.3899949617","-1386.44507175407","384"
"77","-2.5","-5e-04","-3","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","302"
"78","-3","-5e-04","-3","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","51"
"79","-3","-5e-05","-3","-1.75","0.2","0.2","NaN","-1.13189580843041","-0.000484021179111408","-4.12821397599884","0.354224629279703","0.402552923820213","0.280760290439655","0","2810.39012610083","-1386.44513732364","316"
"80","-1.5","1e-04","-3","-3","0.2","0.2","NaN","-1.13187952627425","-0.000484000274356664","-4.12845174144301","0.352572362400772","0.402358784901675","0.28081651474754","0","2810.3900179781","-1386.44508326227","74"
"81","-2","-5e-04","-4","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","528"
"82","-1.5","-0.00035","-1","-3","0.2","0.2","NaN","-1.24905829534828","-0.000418952994014534","-4.36119922094313","-0.438628937448123","0.402652157976888","0.282409162983654","0","2817.10030981841","-1389.80022918243","109"
"83","-2","-2e-04","-2","-1.75","0.2","0.2","NaN","-1.15170144465242","-0.000449216622895563","-4.14636095153942","0.35554836923212","0.400351644524214","0.282502279673187","0","2810.77806797371","-1386.63910826008","338"
"84","-2","-2e-04","-5","-0.5","0.2","0.2","NaN","-1.13209806455359","-0.000484006240645926","-4.12892261465134","0.353339175477427","0.402447280334698","0.280760093847977","0","2810.38996915789","-1386.44505885217","513"
"85","-2","-5e-04","-4","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","403"
"86","-2","-2e-04","-1","-0.5","0.2","0.2","NaN","-1.08636205944595","-0.000511598924165441","-4.04638698996271","0.645228639457638","0.403147669584536","0.280813352538682","0","2811.29687036714","-1386.89850945679","613"
"87","-1.5","-5e-05","-4","-3","0.2","0.2","NaN","-1.15133418245352","-0.000523441286404012","-4.10569427797565","0.194790665148222","0.410198343882826","0.292744494054605","0","2814.91986765046","-1388.71000809845","44"
"88","-2.5","1e-04","-3","-1.75","0.2","0.2","NaN","-1.1319455803982","-0.0004839857624619","-4.12823905049734","0.354387726467425","0.402376028320434","0.280720864749899","0","2810.38996271067","-1386.44505562856","322"
"89","-1.5","-0.00035","-2","-0.5","0.2","0.2","NaN","-1.13199311947043","-0.000483708397820154","-4.12824228911445","0.354851768943218","0.402321496491142","0.280614148792995","0","2810.39030106632","-1386.44522480638","584"
"90","-3","-5e-04","-5","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","376"
"91","-1.5","-5e-05","-4","-1.75","0.2","0.2","NaN","-1.13233849583857","-0.000483835641951351","-4.12875075433174","0.352938844715723","0.40250134999206","0.280774720089428","0","2810.39007820409","-1386.44511337527","294"
"92","-1.5","1e-04","-1","-2.375","0.2","0.2","NaN","-1.13182113894309","-0.000484169901053742","-4.12757471628372","0.354091257350129","0.40236804099245","0.280738634110496","0","2810.38999419329","-1386.44507136987","249"
"93","-2","-0.00035","-2","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","83"
"94","-1","-2e-04","-1","-2.375","0.2","0.2","NaN","-1.13243863300708","-0.000483826412710849","-4.12935718776421","0.350428044224305","0.402442958784289","0.280754877034916","0","2810.39007580539","-1386.44511217592","240"
"95","-2.5","-5e-04","-4","-1.125","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","402"
"96","-1","-2e-04","-1","-1.75","0.2","0.2","NaN","-1.16168164256882","-0.00046735691732523","-4.18625605376878","0.13529449409892","0.402941418528368","0.280763391418093","0","2810.88600514957","-1386.69307684801","365"
"97","-1.5","-2e-04","-1","-1.125","0.2","0.2","NaN","-231.475367689133","8.71497979844008","-2.63808484416595","11.405247323611","0.554660223081278","0.280645239762866","0","3142.92062095204","-1552.71038474924","489"
"98","-2","1e-04","-5","-1.75","0.2","0.2","NaN","-1.13201507719908","-0.000484122290094076","-4.12822002490912","0.352740740023563","0.402419969324164","0.280787288167061","0","2810.38998105419","-1386.44506480032","273"
