"","a_log","a12","h_log","kr_log","sigma","sigma2","error","a_log.est","a12.est","h_log.est","kr_log.est","sigma.est","sigma2.est","converge","BIC","logLik","strtpt"
"1","-2","-5e-05","-1","-3","0.2","0.2","NaN","-1.51460372065169","-0.000109223759504525","-3.76069922737927","0.836856585643577","0.413536242894637","0.280092189995469","0","2836.53782993523","-1399.51898924084","118"
"2","-1.5","-5e-04","-3","-2.375","0.2","0.2","NaN","-1.51829023920174","-9.56212318568159e-05","-3.7608672718412","0.810600040848193","0.415471469488043","0.278460134740936","0","2836.66905482226","-1399.58460168435","179"
"3","-1.5","-5e-05","-5","-1.125","0.2","0.2","NaN","-1.51261687789554","-0.000108562736014305","-3.76345099005824","0.828143468279237","0.413522557740238","0.280454482285112","0","2836.54447181933","-1399.52231018289","394"
"4","-1","-0.00035","-1","-1.75","0.2","0.2","NaN","-1.0950322911313","-0.000684663640575914","-1.16239041508411","-1.920559734465","0.523071057787128","0.282541315360215","0","3093.6390179466","-1528.06958324652","360"
"5","-1.5","-2e-04","-5","-1.125","0.2","0.2","NaN","-1.51340173322941","-0.000110492548308964","-3.7645387450073","0.835753808180135","0.413610925222306","0.28011110670449","0","2836.53743774843","-1399.51879314744","389"
"6","-3","-0.00035","-3","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","306"
"7","-2.5","1e-04","-1","-3","0.2","0.2","NaN","-1.51207654971428","-0.000109292469287129","-3.75583473263067","0.844331149001516","0.413800791728491","0.280500306835242","0","2836.54140868335","-1399.5207786149","122"
"8","-1","-0.00035","-3","-1.75","0.2","0.2","NaN","-1.51429000590305","-0.000110089955269433","-3.76286224833786","0.834302650592659","0.413614469300831","0.280125879082564","0","2836.53711520446","-1399.51863187545","310"
"9","-2.5","-5e-04","-4","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","527"
"10","-2","-5e-04","-2","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","203"
"11","-1","-2e-04","-4","-3","0.2","0.2","NaN","-1.51622991999947","-0.000109480603750425","-3.7681455635578","0.833755315903056","0.413572517954408","0.280214341174958","0","2836.53788713293","-1399.51901783969","40"
"12","-2","-5e-04","-1","-1.125","0.2","0.2","NaN","-1.66389926248856","-7.69164555068182e-05","-4.0434251919612","-0.0611221196511002","0.415347108131431","0.279881107797928","0","2841.63914142153","-1402.06964498399","478"
"13","-3","-0.00035","-5","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","131"
"14","-1","-2e-04","-2","-1.125","0.2","0.2","NaN","-1.50284703106387","-0.000113845715822965","-3.76983145784522","1.01052312765098","0.405583791172483","0.272228296762336","0","2838.03035271176","-1400.2652506291","465"
"15","-1","-5e-05","-2","-1.125","0.2","0.2","NaN","-1.29948069327448","-0.000212660636552582","-3.46968685908063","1.53778758739667","0.424518524597727","0.272912036636421","0","2841.56915527653","-1402.03465191148","470"
"16","-2.5","1e-04","-1","-1.125","0.2","0.2","NaN","-1.51440957599822","-0.000110346973160372","-3.76255511013163","0.83185277044515","0.413704585252586","0.280041743581972","0","2836.5372808433","-1399.51871469487","497"
"17","-1.5","-5e-05","-3","-3","0.2","0.2","NaN","-1.51416533049251","-0.000110458623297473","-3.7632359376672","0.8350150050631","0.413582499058699","0.280104753581109","0","2836.53708568587","-1399.51861711616","69"
"18","-3","-2e-04","-5","-1.75","0.2","0.2","NaN","-1.79262120210937","-7.3398831713544e-05","-4.35476986919408","-1.76743997784095","0.425577277360714","0.2807602744209","0","2864.39246391118","-1413.44630622881","261"
"19","-1","-5e-05","-5","-1.75","0.2","0.2","NaN","-1.51324928697851","-0.00011086579030054","-3.76237670136901","0.834851576578385","0.413767619414755","0.280165770326414","0","2836.53728278982","-1399.51871566813","270"
"20","-1.5","-2e-04","-2","-3","0.2","0.2","NaN","-1.52243220475535","-9.87677779127451e-05","-3.76733943216087","0.820358159455993","0.413255421281906","0.279826840435727","0","2836.56773324922","-1399.53394089783","89"
"21","-1.5","1e-04","-2","-1.125","0.2","0.2","NaN","-1.3667086137316","-0.00015678986120157","-3.51311732291607","1.3450167941032","0.41522168237491","0.280733593770959","0","2838.65660387848","-1400.57837621246","474"
"22","-3","-2e-04","-3","-3","0.2","0.2","NaN","-2.97613603081284","0.000357103318309761","-4.88952591511707","0.236210721061595","0.46244646623842","0.280138562670649","0","2952.87844109066","-1457.68929481855","61"
"23","-2","-0.00035","-1","-2.375","0.2","0.2","NaN","-1.51409046021383","-0.000110552011601779","-3.76441574277324","0.834611931783543","0.413583429143118","0.280089173221765","0","2836.53713854513","-1399.51864354579","233"
"24","-1.5","-5e-05","-2","-2.375","0.2","0.2","NaN","-1.51665330103732","-0.000109978863714152","-3.77061295343087","0.83998875257343","0.41336600620244","0.279997733419593","0","2836.53997238075","-1399.5200604636","219"
"25","-2.5","-2e-04","-5","-0.5","0.2","0.2","NaN","-1.5139166967768","-0.000110124310577924","-3.76167959802735","0.836017232560549","0.413608279265489","0.280091039999034","0","2836.537185896","-1399.51866722122","512"
"26","-1.5","-2e-04","-3","-0.5","0.2","0.2","NaN","-1.51395665371126","-0.000110203735150687","-3.76326292949401","0.836321540671217","0.413574347245508","0.280108394562571","0","2836.53712763572","-1399.51863809108","564"
"27","-2","-0.00035","-4","-3","0.2","0.2","NaN","-1.51412178841075","-0.000110625372997584","-3.76293697089097","0.835845094336811","0.413666892499622","0.280110687077206","0","2836.53714051002","-1399.51864452823","33"
"28","-1.5","-5e-05","-5","-1.75","0.2","0.2","NaN","-1.51118031621886","-0.000116476288836038","-3.75433260079228","0.813676977140975","0.412509643630566","0.279709755782937","0","2836.55942577839","-1399.52978716241","269"
"29","-1","1e-04","-5","-0.5","0.2","0.2","NaN","-1.51439106571247","-0.000110582698118314","-3.7649115803335","0.834622417258196","0.413726138217054","0.280085024440626","0","2836.53723593061","-1399.51869223853","525"
"30","-3","-2e-04","-5","-0.5","0.2","0.2","NaN","-1.51267506161181","-0.000110527755622656","-3.76030863556217","0.83348630973518","0.413598084215683","0.280324094938274","0","2836.53811792721","-1399.51913323682","511"
"31","-3","-5e-04","-2","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","576"
"32","-1","-5e-04","-1","-1.125","0.2","0.2","NaN","-1.51374844820363","-0.000110744251928","-3.76271011361736","0.834246447861289","0.413538923329718","0.280284043667037","0","2836.53749139931","-1399.51881997288","480"
"33","-3","-0.00035","-1","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","356"
"34","-2","-5e-04","-2","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","578"
"35","-3","-5e-05","-5","-0.5","0.2","0.2","NaN","-1.51318437968814","-0.000110913810598777","-3.76088220539134","0.836752382801796","0.413636651284731","0.280144071642861","0","2836.53719529951","-1399.51867192298","516"
"36","-3","-2e-04","-4","-2.375","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","161"
"37","-1","-5e-05","-3","-2.375","0.2","0.2","NaN","-1.5129973271699","-0.000111060033810866","-3.76190369552207","0.834783302708758","0.41361179287322","0.280119594161241","0","2836.53715909941","-1399.51865382292","195"
"38","-2","-5e-05","-4","-2.375","0.2","0.2","NaN","-1.51359903528717","-0.000111214339501978","-3.76222899565392","0.833960870314666","0.413595039127327","0.280066133684922","0","2836.53721780067","-1399.51868317356","168"
"39","-1","-0.00035","-2","-2.375","0.2","0.2","NaN","-1.51346338751155","-0.000109703989550846","-3.76096113647144","0.842602985456693","0.413473901188992","0.280111947702442","0","2836.53780574643","-1399.51897714644","210"
"40","-3","-5e-05","-2","-1.75","0.2","0.2","NaN","-1.51412052365326","-0.00011015904122641","-3.76381966644545","0.835894584731744","0.413570641211016","0.28013928640661","0","2836.5371492345","-1399.51864889047","341"
"41","-2.5","-2e-04","-1","-1.125","0.2","0.2","NaN","-1.59396713813767","-9.49482265526544e-05","-3.91548123585484","0.336227648423063","0.414000346944773","0.279918016307047","0","2838.11569668519","-1400.30792261582","487"
"42","-2.5","-5e-05","-3","-1.75","0.2","0.2","NaN","-1.51379587395103","-0.000111149156942534","-3.76335843075794","0.836273106365117","0.413542527463478","0.280203800022448","0","2836.53735754728","-1399.51875304686","317"
"43","-2","-2e-04","-3","-2.375","0.2","0.2","NaN","-1.5136273411513","-0.00011065855060134","-3.76282269634336","0.835306920908041","0.413629358296984","0.280098366705683","0","2836.5370760471","-1399.51861229677","188"
"44","-1.5","-0.00035","-5","-3","0.2","0.2","NaN","-1.51568510932175","-0.000107524238835184","-3.76848763500117","0.832234182177029","0.413322517490191","0.280055286850531","0","2836.54095366242","-1399.52055110443","9"
"45","-3","-5e-05","-2","-2.375","0.2","0.2","NaN","-1.51342332616966","-0.000111332487765748","-3.76271138217713","0.835181583899065","0.413702507720766","0.280104458598067","0","2836.53722688073","-1399.51868771359","216"
"46","-1","-5e-04","-2","-0.5","0.2","0.2","NaN","-1.38386124878285","-0.00013762405781556","-3.53408427865135","1.40858919904615","0.415486677894109","0.279485566048814","0","2838.73713438366","-1400.61864146505","580"
"47","-3","-2e-04","-4","-1.75","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","286"
"48","-2","-0.00035","-5","-1.75","0.2","0.2","NaN","-1.51406257459594","-0.000110789859189283","-3.76595096401757","0.831585273819596","0.41382925227597","0.280155356372959","0","2836.53775909816","-1399.5189538223","258"
"49","-1","-0.00035","-1","-3","0.2","0.2","NaN","-1.51445842068073","-0.000110201232016571","-3.76362412318826","0.836357045793451","0.413782433492748","0.279997140263695","0","2836.53748715881","-1399.51881785263","110"
"50","-2.5","-5e-04","-1","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","602"
"51","-2.5","-0.00035","-1","-0.5","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","607"
"52","-3","-2e-04","-1","-1.75","0.2","0.2","NaN","-1.72737653731707","-8.83301535618919e-05","-4.1223933660148","-1.32825934473989","0.422326450274661","0.280117715134995","0","2858.30425848161","-1410.40220351403","361"
"53","-1.5","-0.00035","-4","-3","0.2","0.2","NaN","-1.51383828053379","-0.000110859618151542","-3.76254172892297","0.833022170688407","0.41366668865324","0.280084890039594","0","2836.53713479077","-1399.51864166861","34"
"54","-2.5","1e-04","-1","-2.375","0.2","0.2","NaN","-1.8112803488195","-6.44537463122995e-05","-4.26033224965362","-2.16853492605979","0.422916869884144","0.278112127175281","0","2868.21487474873","-1415.35751164759","247"
"55","-1","1e-04","-5","-3","0.2","0.2","NaN","-1.51366538715436","-0.000111135844270487","-3.7635586625855","0.830677173792034","0.413548802282332","0.280077062653579","0","2836.53731780622","-1399.51873317633","25"
"56","-2.5","-5e-04","-4","-3","0.2","0.2","function cannot be evaluated at initial parameters","NA","NA","NA","NA","NA","NA","NA","NA","NA","27"
"57","-2.5","1e-04","-4","-1.125","0.2","0.2","NaN","-1.5126769134632","-0.000110919028388605","-3.759794994492","0.842811814412299","0.413612075130864","0.280098325224293","0","2836.53759969026","-1399.51887411835","422"
"58","-2","1e-04","-3","-1.75","0.2","0.2","NaN","-1.51512244817335","-0.000109591323360971","-3.7613592324672","0.831749035163368","0.413405386512032","0.279963875466853","0","2836.5382758819","-1399.51921221417","323"
